image,xmin,ymin,xmax,ymax
frame_000071.PNG,603.71,36.43,638.72,68.91
frame_000072.PNG,604.14,37.79,639.24,70.42
frame_000073.PNG,604.57,39.15,639.76,71.93
frame_000074.PNG,605.0,40.51,640.28,73.44
frame_000075.PNG,605.43,41.87,640.8,74.95
frame_000076.PNG,605.86,43.23,641.32,76.46
frame_000077.PNG,606.28,44.59,641.84,77.97
frame_000078.PNG,606.71,45.95,642.36,79.48
frame_000079.PNG,607.14,47.3,642.88,80.99
frame_000080.PNG,607.57,48.66,643.4,82.5
frame_000081.PNG,607.91,50.11,643.92,84.26
frame_000082.PNG,608.25,51.56,644.44,86.02
frame_000083.PNG,608.59,53.01,644.96,87.78
frame_000084.PNG,608.93,54.46,645.48,89.54
frame_000085.PNG,609.27,55.91,646.0,91.3
frame_000086.PNG,609.61,57.36,646.52,93.06
frame_000087.PNG,609.95,58.81,647.04,94.82
frame_000088.PNG,610.29,60.26,647.56,96.58
frame_000089.PNG,610.63,61.71,648.08,98.34
frame_000090.PNG,610.97,63.16,648.6,100.1
frame_000091.PNG,611.23,64.79,649.22,102.13
frame_000092.PNG,611.49,66.42,649.84,104.16
frame_000093.PNG,611.75,68.05,650.46,106.19
frame_000094.PNG,612.01,69.68,651.08,108.22
frame_000095.PNG,612.27,71.31,651.7,110.25
frame_000096.PNG,612.53,72.94,652.32,112.28
frame_000097.PNG,612.79,74.57,652.94,114.31
frame_000098.PNG,613.05,76.2,653.56,116.34
frame_000099.PNG,613.31,77.83,654.18,118.37
frame_000100.PNG,613.57,79.46,654.8,120.4
frame_000101.PNG,613.79,81.41,655.36,122.69
frame_000102.PNG,614.0,83.35,655.92,124.98
frame_000103.PNG,614.22,85.3,656.48,127.27
frame_000104.PNG,614.44,87.24,657.04,129.56
frame_000105.PNG,614.65,89.18,657.6,131.85
frame_000106.PNG,614.87,91.13,658.16,134.14
frame_000107.PNG,615.08,93.07,658.72,136.43
frame_000108.PNG,615.3,95.02,659.28,138.72
frame_000109.PNG,615.51,96.96,659.84,141.01
frame_000110.PNG,615.73,98.9,660.4,143.3
frame_000111.PNG,615.94,101.09,661.0,145.98
frame_000112.PNG,616.16,103.28,661.6,148.66
frame_000113.PNG,616.37,105.47,662.2,151.34
frame_000114.PNG,616.59,107.66,662.8,154.02
frame_000115.PNG,616.8,109.85,663.4,156.7
frame_000116.PNG,617.02,112.04,664.0,159.38
frame_000117.PNG,617.23,114.23,664.6,162.06
frame_000118.PNG,617.45,116.42,665.2,164.74
frame_000119.PNG,617.66,118.61,665.8,167.42
frame_000120.PNG,617.88,120.79,666.4,170.1
frame_000121.PNG,618.06,123.37,666.97,173.07
frame_000122.PNG,618.25,125.95,667.54,176.04
frame_000123.PNG,618.44,128.52,668.11,179.01
frame_000124.PNG,618.63,131.1,668.68,181.98
frame_000125.PNG,618.82,133.67,669.25,184.95
frame_000126.PNG,619.01,136.25,669.82,187.92
frame_000127.PNG,619.2,138.82,670.39,190.89
frame_000128.PNG,619.39,141.4,670.96,193.86
frame_000129.PNG,619.57,143.97,671.53,196.83
frame_000130.PNG,619.76,146.55,672.1,199.8
frame_000131.PNG,619.71,149.4,672.55,203.31
frame_000132.PNG,619.66,152.25,673.0,206.82
frame_000133.PNG,619.61,155.1,673.45,210.33
frame_000134.PNG,619.56,157.95,673.9,213.84
frame_000135.PNG,619.5,160.8,674.35,217.35
frame_000136.PNG,619.45,163.65,674.8,220.86
frame_000137.PNG,619.4,166.51,675.25,224.37
frame_000138.PNG,619.35,169.36,675.7,227.88
frame_000139.PNG,619.3,172.21,676.15,231.39
frame_000140.PNG,619.25,175.06,676.6,234.9
frame_000141.PNG,618.94,178.57,676.97,239.32
frame_000142.PNG,618.64,182.09,677.35,243.74
frame_000143.PNG,618.33,185.6,677.72,248.16
frame_000144.PNG,618.03,189.11,678.1,252.58
frame_000145.PNG,617.72,192.63,678.47,257.0
frame_000146.PNG,617.42,196.14,678.85,261.42
frame_000147.PNG,617.11,199.65,679.22,265.84
frame_000148.PNG,616.81,203.17,679.6,270.26
frame_000149.PNG,616.5,206.68,679.97,274.68
frame_000150.PNG,616.2,210.19,680.35,279.1
frame_000151.PNG,615.13,214.67,680.08,284.56
frame_000152.PNG,614.06,219.15,679.81,290.02
frame_000153.PNG,612.99,223.63,679.54,295.48
frame_000154.PNG,611.92,228.11,679.28,300.94
frame_000155.PNG,610.85,232.59,679.01,306.4
frame_000156.PNG,609.78,237.07,678.74,311.86
frame_000157.PNG,608.71,241.55,678.48,317.32
frame_000158.PNG,607.64,246.03,678.21,322.78
frame_000159.PNG,606.57,250.51,677.94,328.24
frame_000160.PNG,605.5,254.99,677.68,333.7
frame_000161.PNG,603.36,260.62,676.87,340.85
frame_000162.PNG,601.22,266.26,676.07,348.0
frame_000163.PNG,599.08,271.9,675.27,355.15
frame_000164.PNG,596.94,277.54,674.47,362.3
frame_000165.PNG,594.8,283.17,673.67,369.45
frame_000166.PNG,592.66,288.81,672.87,376.6
frame_000167.PNG,590.52,294.45,672.07,383.75
frame_000168.PNG,588.38,300.08,671.27,390.9
frame_000169.PNG,586.24,305.72,670.47,398.05
frame_000170.PNG,584.1,311.36,669.67,405.2
frame_000171.PNG,580.69,317.55,668.35,414.24
frame_000172.PNG,577.28,323.75,667.04,423.28
frame_000173.PNG,573.87,329.94,665.73,432.33
frame_000174.PNG,570.06,337.24,664.02,442.47
frame_000175.PNG,566.25,344.54,662.31,452.61
frame_000176.PNG,562.44,351.83,660.59,462.76
frame_000177.PNG,558.63,359.13,658.88,472.9
frame_000178.PNG,553.72,367.65,656.07,484.27
frame_000179.PNG,548.81,376.17,653.26,495.63
frame_000180.PNG,543.9,384.69,650.44,507.0
frame_000181.PNG,537.72,394.34,647.62,520.18
frame_000182.PNG,531.54,403.98,644.81,533.36
frame_000183.PNG,525.36,413.62,641.99,546.54
frame_000184.PNG,519.18,423.27,639.17,559.72
frame_000185.PNG,513.0,432.91,636.35,572.9
frame_000186.PNG,504.28,444.87,632.05,589.44
frame_000187.PNG,495.56,456.82,627.75,605.98
frame_000188.PNG,486.84,468.77,623.45,622.52
frame_000189.PNG,478.12,480.72,619.15,639.06
frame_000190.PNG,469.4,492.68,614.84,655.6
frame_000191.PNG,457.52,507.09,608.46,677.12
frame_000192.PNG,445.64,521.5,602.08,698.64
frame_000193.PNG,433.76,535.91,595.71,720.16
frame_000194.PNG,421.88,550.32,589.33,741.68
frame_000195.PNG,410.0,564.73,582.95,763.2
frame_000196.PNG,394.28,583.13,574.29,790.12
frame_000197.PNG,378.56,601.53,565.63,817.04
frame_000198.PNG,362.84,619.92,556.97,843.96
frame_000199.PNG,347.12,638.32,548.32,870.88
frame_000200.PNG,331.4,656.72,539.66,897.8
frame_000201.PNG,310.68,680.11,528.34,935.71
frame_000202.PNG,289.96,703.51,517.03,973.63
frame_000203.PNG,269.24,726.9,505.71,1011.54
frame_000204.PNG,248.53,750.3,494.4,1049.45
frame_000205.PNG,222.04,782.8,479.9,1080.0
frame_000206.PNG,196.7,807.9,464.9,1080.0
frame_000207.PNG,181.6,840.6,450.8,1080.0
frame_000208.PNG,170.3,875.2,433.7,1080.0
frame_000209.PNG,142.8,906.0,418.3,1080.0
frame_000210.PNG,154.5,944.28,397.02,1080.0
frame_000211.PNG,154.5,944.28,397.02,1080.0
frame_000033.PNG,1727.51,412.82,1868.52,546.53
frame_000034.PNG,1716.78,415.72,1865.6,554.12
frame_000035.PNG,1706.06,418.63,1862.68,561.72
frame_000036.PNG,1695.34,421.53,1859.76,569.31
frame_000037.PNG,1684.62,424.44,1856.84,576.91
frame_000038.PNG,1673.9,427.34,1853.92,584.5
frame_000039.PNG,1662.95,433.98,1848.3,592.5
frame_000040.PNG,1652.0,440.62,1842.69,600.5
frame_000041.PNG,1641.25,447.25,1834.01,610.21
frame_000042.PNG,1630.5,453.88,1825.34,619.92
frame_000043.PNG,1619.75,460.51,1816.67,629.63
frame_000044.PNG,1609.0,467.14,1808.0,639.34
frame_000045.PNG,1598.25,473.77,1799.33,649.05
frame_000046.PNG,1587.5,480.4,1790.66,658.76
frame_000047.PNG,1576.75,487.03,1781.99,668.47
frame_000048.PNG,1566.0,493.65,1773.32,678.18
frame_000049.PNG,1555.25,500.28,1764.64,687.89
frame_000050.PNG,1544.5,506.91,1755.97,697.6
frame_000051.PNG,1533.22,515.34,1746.28,710.17
frame_000052.PNG,1521.95,523.77,1736.58,722.74
frame_000053.PNG,1510.67,532.2,1726.89,735.3
frame_000054.PNG,1499.39,540.63,1717.19,747.87
frame_000055.PNG,1488.12,549.06,1707.5,760.44
frame_000056.PNG,1477.43,558.91,1698.4,774.43
frame_000057.PNG,1466.75,568.77,1689.29,788.42
frame_000058.PNG,1456.07,578.62,1680.19,802.42
frame_000059.PNG,1445.38,588.48,1671.09,816.41
frame_000060.PNG,1434.7,598.33,1661.99,830.4
frame_000061.PNG,1423.27,609.17,1652.56,848.52
frame_000062.PNG,1411.84,620.0,1643.13,866.64
frame_000063.PNG,1400.41,630.84,1633.71,884.76
frame_000064.PNG,1388.98,641.68,1624.28,902.88
frame_000065.PNG,1377.9,654.07,1615.2,922.55
frame_000066.PNG,1366.82,666.47,1606.12,942.23
frame_000067.PNG,1355.74,678.86,1597.04,961.91
frame_000068.PNG,1344.46,692.35,1587.76,982.67
frame_000069.PNG,1333.18,705.83,1578.48,1003.44
frame_000070.PNG,1321.9,719.31,1569.2,1024.2
frame_000071.PNG,1309.85,734.77,1560.16,1052.1
frame_000072.PNG,1297.8,750.23,1551.11,1080.0
frame_000073.PNG,1285.75,765.7,1542.07,1080.0
frame_000074.PNG,1273.7,781.16,1533.02,1080.0
frame_000075.PNG,1265.1,798.16,1524.75,1080.0
frame_000076.PNG,1256.5,815.16,1516.48,1080.0
frame_000077.PNG,1254.5,834.54,1507.01,1080.0
frame_000078.PNG,1252.5,853.93,1497.54,1080.0
frame_000079.PNG,1242.85,874.28,1489.54,1080.0
frame_000080.PNG,1233.2,894.63,1481.54,1080.0
frame_000081.PNG,1249.8,917.79,1471.9,1080.0
frame_000082.PNG,1250.4,940.95,1462.27,1080.0
frame_000083.PNG,1251.0,964.1,1452.63,1080.0
frame_000084.PNG,1251.0,964.1,1452.63,1080.0
frame_000046.PNG,596.5,0.0,621.1,13.1
frame_000047.PNG,596.58,0.0,621.58,14.28
frame_000048.PNG,596.65,0.0,622.05,15.45
frame_000049.PNG,596.73,0.0,622.53,16.63
frame_000050.PNG,596.8,0.0,623.0,17.8
frame_000051.PNG,596.8,0.26,623.17,18.84
frame_000052.PNG,596.8,0.52,623.34,19.88
frame_000053.PNG,596.8,0.78,623.51,20.92
frame_000054.PNG,596.8,1.04,623.68,21.96
frame_000055.PNG,596.8,1.3,623.85,23.0
frame_000056.PNG,596.8,1.56,624.02,24.04
frame_000057.PNG,596.8,1.82,624.19,25.08
frame_000058.PNG,596.8,2.08,624.36,26.12
frame_000059.PNG,596.8,2.34,624.53,27.16
frame_000060.PNG,596.8,2.6,624.7,28.2
frame_000061.PNG,596.93,3.68,625.03,29.48
frame_000062.PNG,597.06,4.76,625.36,30.76
frame_000063.PNG,597.19,5.84,625.69,32.04
frame_000064.PNG,597.32,6.92,626.02,33.32
frame_000065.PNG,597.45,8.0,626.35,34.6
frame_000066.PNG,597.58,9.08,626.68,35.88
frame_000067.PNG,597.71,10.16,627.01,37.16
frame_000068.PNG,597.84,11.24,627.34,38.44
frame_000069.PNG,597.97,12.32,627.67,39.72
frame_000070.PNG,598.1,13.4,628.0,41.0
frame_000071.PNG,598.26,14.48,628.31,42.31
frame_000072.PNG,598.42,15.56,628.62,43.62
frame_000073.PNG,598.58,16.64,628.93,44.93
frame_000074.PNG,598.74,17.72,629.24,46.24
frame_000075.PNG,598.9,18.8,629.55,47.55
frame_000076.PNG,599.06,19.88,629.86,48.86
frame_000077.PNG,599.22,20.96,630.17,50.17
frame_000078.PNG,599.38,22.04,630.48,51.48
frame_000079.PNG,599.54,23.12,630.79,52.79
frame_000080.PNG,599.7,24.2,631.1,54.1
frame_000081.PNG,599.82,25.39,631.47,55.51
frame_000082.PNG,599.94,26.58,631.84,56.92
frame_000083.PNG,600.06,27.77,632.21,58.33
frame_000084.PNG,600.18,28.96,632.58,59.74
frame_000085.PNG,600.3,30.15,632.95,61.15
frame_000086.PNG,600.42,31.34,633.32,62.56
frame_000087.PNG,600.54,32.53,633.69,63.97
frame_000088.PNG,600.66,33.72,634.06,65.38
frame_000089.PNG,600.78,34.91,634.43,66.79
frame_000090.PNG,600.9,36.1,634.8,68.2
frame_000091.PNG,601.11,37.38,635.26,69.76
frame_000092.PNG,601.32,38.66,635.72,71.32
frame_000093.PNG,601.53,39.94,636.18,72.88
frame_000094.PNG,601.74,41.22,636.64,74.44
frame_000095.PNG,601.95,42.5,637.1,76.0
frame_000096.PNG,602.16,43.78,637.56,77.56
frame_000097.PNG,602.37,45.06,638.02,79.12
frame_000098.PNG,602.58,46.34,638.48,80.68
frame_000099.PNG,602.79,47.62,638.94,82.24
frame_000100.PNG,603.0,48.9,639.4,83.8
frame_000101.PNG,603.24,50.46,639.86,85.6
frame_000102.PNG,603.48,52.02,640.32,87.4
frame_000103.PNG,603.72,53.58,640.78,89.2
frame_000104.PNG,603.96,55.14,641.24,91.0
frame_000105.PNG,604.2,56.7,641.7,92.8
frame_000106.PNG,604.44,58.26,642.16,94.6
frame_000107.PNG,604.68,59.82,642.62,96.4
frame_000108.PNG,604.92,61.38,643.08,98.2
frame_000109.PNG,605.16,62.94,643.54,100.0
frame_000110.PNG,605.4,64.5,644.0,101.8
frame_000111.PNG,605.63,66.17,644.53,103.85
frame_000112.PNG,605.86,67.85,645.06,105.9
frame_000113.PNG,606.09,69.52,645.59,107.95
frame_000114.PNG,606.32,71.2,646.12,110.0
frame_000115.PNG,606.55,72.87,646.65,112.05
frame_000116.PNG,606.78,74.54,647.18,114.1
frame_000117.PNG,607.0,76.22,647.71,116.15
frame_000118.PNG,607.23,77.89,648.24,118.2
frame_000119.PNG,607.46,79.56,648.77,120.25
frame_000120.PNG,607.69,81.24,649.3,122.3
frame_000121.PNG,607.91,83.14,649.88,124.46
frame_000122.PNG,608.13,85.04,650.46,126.62
frame_000123.PNG,608.35,86.94,651.04,128.78
frame_000124.PNG,608.57,88.84,651.62,130.94
frame_000125.PNG,608.79,90.74,652.2,133.1
frame_000126.PNG,609.01,92.64,652.78,135.26
frame_000127.PNG,609.23,94.54,653.36,137.42
frame_000128.PNG,609.45,96.44,653.94,139.58
frame_000129.PNG,609.67,98.34,654.52,141.74
frame_000130.PNG,609.89,100.24,655.1,143.9
frame_000131.PNG,609.92,102.3,655.56,146.45
frame_000132.PNG,609.95,104.36,656.02,149.0
frame_000133.PNG,609.98,106.42,656.48,151.55
frame_000134.PNG,610.01,108.48,656.94,154.1
frame_000135.PNG,610.04,110.54,657.4,156.65
frame_000136.PNG,610.07,112.6,657.86,159.2
frame_000137.PNG,610.1,114.66,658.32,161.75
frame_000138.PNG,610.13,116.72,658.78,164.3
frame_000139.PNG,610.16,118.78,659.24,166.85
frame_000140.PNG,610.19,120.84,659.7,169.4
frame_000141.PNG,610.07,123.3,660.12,172.35
frame_000142.PNG,609.94,125.76,660.54,175.3
frame_000143.PNG,609.82,128.23,660.96,178.25
frame_000144.PNG,609.69,130.69,661.38,181.2
frame_000145.PNG,609.57,133.15,661.8,184.15
frame_000146.PNG,609.44,135.61,662.22,187.1
frame_000147.PNG,609.32,138.08,662.64,190.05
frame_000148.PNG,609.19,140.54,663.06,193.0
frame_000149.PNG,609.07,143.0,663.48,195.95
frame_000150.PNG,608.94,145.46,663.9,198.9
frame_000151.PNG,608.79,148.33,664.12,202.37
frame_000152.PNG,608.63,151.2,664.35,205.84
frame_000153.PNG,608.48,154.06,664.57,209.31
frame_000154.PNG,608.32,156.93,664.79,212.78
frame_000155.PNG,608.17,159.8,665.02,216.25
frame_000156.PNG,608.02,162.66,665.24,219.72
frame_000157.PNG,607.86,165.53,665.46,223.19
frame_000158.PNG,607.71,168.4,665.69,226.66
frame_000159.PNG,607.55,171.27,665.91,230.13
frame_000160.PNG,607.4,174.13,666.13,233.6
frame_000161.PNG,606.9,177.5,666.29,237.96
frame_000162.PNG,606.4,180.86,666.44,242.32
frame_000163.PNG,605.9,184.23,666.6,246.68
frame_000164.PNG,605.4,187.59,666.75,251.04
frame_000165.PNG,604.9,190.96,666.91,255.4
frame_000166.PNG,604.4,194.32,667.06,259.76
frame_000167.PNG,603.9,197.69,667.21,264.12
frame_000168.PNG,603.4,201.05,667.37,268.48
frame_000169.PNG,602.9,204.42,667.52,272.84
frame_000170.PNG,602.4,207.78,667.68,277.2
frame_000171.PNG,601.36,211.85,667.5,282.36
frame_000172.PNG,600.32,215.91,667.32,287.53
frame_000173.PNG,599.28,219.98,667.14,292.69
frame_000174.PNG,598.24,224.04,666.97,297.85
frame_000175.PNG,597.2,228.11,666.79,303.02
frame_000176.PNG,596.16,232.59,666.61,308.59
frame_000177.PNG,595.12,237.07,666.43,314.17
frame_000178.PNG,594.08,241.54,666.25,319.75
frame_000179.PNG,593.04,246.02,666.07,325.32
frame_000180.PNG,592.0,250.5,665.89,330.9
frame_000181.PNG,590.31,255.52,665.71,337.52
frame_000182.PNG,588.61,260.53,665.53,344.13
frame_000183.PNG,586.92,265.55,665.35,350.75
frame_000184.PNG,585.23,270.57,665.17,357.36
frame_000185.PNG,583.54,275.58,664.98,363.98
frame_000186.PNG,581.35,281.59,664.31,371.58
frame_000187.PNG,579.16,287.6,663.63,379.19
frame_000188.PNG,576.97,293.6,662.96,386.79
frame_000189.PNG,574.79,299.61,662.28,394.4
frame_000190.PNG,572.6,305.61,661.6,402.0
frame_000191.PNG,569.72,312.26,660.32,411.42
frame_000192.PNG,566.84,318.9,659.03,420.84
frame_000193.PNG,563.96,325.54,657.74,430.26
frame_000194.PNG,561.08,332.19,656.46,439.69
frame_000195.PNG,558.2,338.83,655.17,449.11
frame_000196.PNG,554.24,346.71,653.61,459.77
frame_000197.PNG,550.28,354.59,652.05,470.42
frame_000198.PNG,546.32,362.47,650.49,481.08
frame_000199.PNG,542.36,370.36,648.93,491.74
frame_000200.PNG,538.4,378.24,647.37,502.4
frame_000201.PNG,531.64,388.53,644.19,516.91
frame_000202.PNG,524.88,398.82,641.02,531.42
frame_000203.PNG,518.12,409.12,637.85,545.93
frame_000204.PNG,511.36,419.41,634.67,560.44
frame_000205.PNG,504.6,429.71,631.5,574.95
frame_000206.PNG,497.84,440.0,628.32,589.46
frame_000207.PNG,491.08,450.3,625.15,603.97
frame_000208.PNG,484.32,460.59,621.98,618.48
frame_000209.PNG,477.56,470.88,618.8,632.99
frame_000210.PNG,470.8,481.18,615.63,647.5
frame_000211.PNG,459.78,495.14,609.9,667.6
frame_000212.PNG,448.76,509.1,604.18,687.7
frame_000213.PNG,437.74,523.06,598.46,707.8
frame_000214.PNG,426.72,537.02,592.73,727.9
frame_000215.PNG,415.7,550.98,587.01,748.0
frame_000216.PNG,401.08,568.7,579.92,774.76
frame_000217.PNG,386.46,586.42,572.83,801.52
frame_000218.PNG,371.84,604.14,565.73,828.28
frame_000219.PNG,357.22,621.86,558.64,855.04
frame_000220.PNG,342.6,639.58,551.55,881.8
frame_000221.PNG,323.02,660.8,541.04,915.01
frame_000222.PNG,303.44,682.02,530.53,948.23
frame_000223.PNG,283.87,703.24,520.02,981.44
frame_000224.PNG,263.43,727.88,508.66,1018.07
frame_000225.PNG,243.0,752.52,497.3,1054.7
frame_000226.PNG,218.8,778.51,482.61,1080.0
frame_000227.PNG,192.9,809.1,470.0,1080.0
frame_000228.PNG,182.77,839.7,454.61,1080.0
frame_000229.PNG,172.63,870.3,439.23,1080.0
frame_000230.PNG,162.5,900.9,423.84,1080.0
frame_000231.PNG,158.25,937.04,404.71,1080.0
frame_000232.PNG,154.0,973.18,385.58,1080.0
frame_000233.PNG,154.0,973.18,385.58,1080.0
frame_000064.PNG,598.35,0.0,621.95,10.86
frame_000065.PNG,598.61,0.0,622.61,12.0
frame_000066.PNG,598.87,0.0,623.27,13.14
frame_000067.PNG,599.12,0.0,623.93,14.28
frame_000068.PNG,599.38,0.0,624.58,15.42
frame_000069.PNG,599.64,0.0,625.24,16.56
frame_000070.PNG,599.9,0.0,625.9,17.7
frame_000071.PNG,600.08,0.48,626.28,18.7
frame_000072.PNG,600.26,0.95,626.66,19.7
frame_000073.PNG,600.44,1.43,627.04,20.7
frame_000074.PNG,600.62,1.9,627.42,21.7
frame_000075.PNG,600.8,2.38,627.8,22.7
frame_000076.PNG,600.98,2.85,628.18,23.7
frame_000077.PNG,601.16,3.32,628.56,24.7
frame_000078.PNG,601.34,3.8,628.94,25.7
frame_000079.PNG,601.52,4.28,629.32,26.7
frame_000080.PNG,601.7,4.75,629.7,27.7
frame_000081.PNG,601.88,5.23,630.08,28.7
frame_000082.PNG,602.06,5.7,630.46,29.7
frame_000083.PNG,602.24,6.17,630.84,30.7
frame_000084.PNG,602.42,6.65,631.22,31.7
frame_000085.PNG,602.6,7.12,631.6,32.7
frame_000086.PNG,602.78,7.6,631.98,33.7
frame_000087.PNG,602.96,8.07,632.36,34.7
frame_000088.PNG,603.14,8.55,632.74,35.7
frame_000089.PNG,603.32,9.03,633.12,36.7
frame_000090.PNG,603.5,9.5,633.5,37.7
frame_000091.PNG,603.79,10.51,633.91,38.96
frame_000092.PNG,604.08,11.52,634.32,40.22
frame_000093.PNG,604.37,12.53,634.73,41.48
frame_000094.PNG,604.66,13.54,635.14,42.74
frame_000095.PNG,604.95,14.55,635.55,44.0
frame_000096.PNG,605.24,15.56,635.96,45.26
frame_000097.PNG,605.53,16.57,636.37,46.52
frame_000098.PNG,605.82,17.58,636.78,47.78
frame_000099.PNG,606.11,18.59,637.19,49.04
frame_000100.PNG,606.4,19.6,637.6,50.3
frame_000101.PNG,606.65,20.65,638.01,51.54
frame_000102.PNG,606.9,21.7,638.42,52.78
frame_000103.PNG,607.15,22.75,638.83,54.02
frame_000104.PNG,607.4,23.8,639.24,55.26
frame_000105.PNG,607.65,24.85,639.65,56.5
frame_000106.PNG,607.9,25.89,640.06,57.74
frame_000107.PNG,608.15,26.94,640.47,58.98
frame_000108.PNG,608.4,27.99,640.88,60.22
frame_000109.PNG,608.65,29.04,641.29,61.46
frame_000110.PNG,608.9,30.09,641.7,62.7
frame_000111.PNG,609.28,31.27,642.19,64.14
frame_000112.PNG,609.66,32.45,642.68,65.58
frame_000113.PNG,610.04,33.63,643.17,67.02
frame_000114.PNG,610.42,34.81,643.66,68.46
frame_000115.PNG,610.8,35.99,644.15,69.9
frame_000116.PNG,611.18,37.17,644.64,71.34
frame_000117.PNG,611.56,38.35,645.13,72.78
frame_000118.PNG,611.94,39.53,645.62,74.22
frame_000119.PNG,612.32,40.71,646.11,75.66
frame_000120.PNG,612.7,41.89,646.6,77.1
frame_000121.PNG,612.97,43.17,647.19,78.64
frame_000122.PNG,613.24,44.45,647.78,80.18
frame_000123.PNG,613.51,45.73,648.37,81.72
frame_000124.PNG,613.78,47.01,648.96,83.26
frame_000125.PNG,614.05,48.29,649.55,84.8
frame_000126.PNG,614.32,49.57,650.14,86.34
frame_000127.PNG,614.59,50.85,650.73,87.88
frame_000128.PNG,614.86,52.13,651.32,89.42
frame_000129.PNG,615.13,53.41,651.91,90.96
frame_000130.PNG,615.4,54.69,652.5,92.5
frame_000131.PNG,615.68,56.07,653.03,94.06
frame_000132.PNG,615.96,57.45,653.56,95.62
frame_000133.PNG,616.24,58.83,654.09,97.18
frame_000134.PNG,616.52,60.21,654.62,98.74
frame_000135.PNG,616.8,61.59,655.15,100.3
frame_000136.PNG,617.08,62.97,655.68,101.86
frame_000137.PNG,617.36,64.35,656.21,103.42
frame_000138.PNG,617.64,65.73,656.74,104.98
frame_000139.PNG,617.92,67.11,657.27,106.54
frame_000140.PNG,618.2,68.49,657.8,108.1
frame_000141.PNG,618.37,70.03,658.36,109.97
frame_000142.PNG,618.54,71.57,658.92,111.84
frame_000143.PNG,618.71,73.11,659.48,113.71
frame_000144.PNG,618.88,74.65,660.04,115.58
frame_000145.PNG,619.05,76.19,660.6,117.45
frame_000146.PNG,619.22,77.73,661.16,119.32
frame_000147.PNG,619.39,79.27,661.72,121.19
frame_000148.PNG,619.56,80.81,662.28,123.06
frame_000149.PNG,619.73,82.35,662.84,124.93
frame_000150.PNG,619.9,83.89,663.4,126.8
frame_000151.PNG,620.33,85.6,664.02,128.85
frame_000152.PNG,620.76,87.3,664.64,130.9
frame_000153.PNG,621.19,89.0,665.26,132.95
frame_000154.PNG,621.62,90.7,665.88,135.0
frame_000155.PNG,622.05,92.41,666.5,137.05
frame_000156.PNG,622.48,94.11,667.12,139.1
frame_000157.PNG,622.91,95.81,667.74,141.15
frame_000158.PNG,623.34,97.51,668.36,143.2
frame_000159.PNG,623.77,99.22,668.98,145.25
frame_000160.PNG,624.2,100.92,669.6,147.3
frame_000161.PNG,624.26,102.8,670.11,149.76
frame_000162.PNG,624.32,104.69,670.62,152.22
frame_000163.PNG,624.38,106.57,671.13,154.68
frame_000164.PNG,624.44,108.46,671.64,157.14
frame_000165.PNG,624.5,110.34,672.15,159.6
frame_000166.PNG,624.56,112.22,672.66,162.06
frame_000167.PNG,624.62,114.11,673.17,164.52
frame_000168.PNG,624.68,115.99,673.68,166.98
frame_000169.PNG,624.74,117.87,674.19,169.44
